Character,love,death,happy,God
Andrew,0.049,0.098,0.0,0.0
Pierre,0.012,0.009,0.021,0.0
Natásha,0.057,0.006,0.011,0.006
Nicholas,0.029,0.0,0.0,0.019
Mary,0.03,0.018,0.018,0.0
