Character,love,death,happy,God
Andrew,0.0,0.006,0.003,0.003
Pierre,0.003,0.016,0.01,0.003
Natásha,0.081,0.0,0.027,0.0
Nicholas,0.0,0.0,0.017,0.017
Mary,0.024,0.0,0.036,0.024
