Character,love,death,happy,God
Andrew,0.016,0.012,0.008,0.032
Pierre,0.012,0.004,0.006,0.002
Natásha,0.044,0.0,0.019,0.006
Nicholas,0.0,0.0,0.0,0.0
Mary,0.015,0.008,0.0,0.015
